,scores,isrc,artist,title,seed_playlist_uri
134,0.839030040834743,USWD10321112,Ilene Woods,A Dream Is A Wish Your Heart Makes - Soundtrack,malaysia_top_test
135,0.8372610465411249,USWD11778853,Emma Watson,How Does A Moment Last Forever (Montmartre),malaysia_top_test
136,0.8350206143699951,USWD11677601,Alessia Cara,"How Far I'll Go - From ""Moana""",malaysia_top_test
137,0.8348941726350846,USWD10423911,Mulan,"Lesson Number One - From ""Mulan II""/Soundtrack Version",malaysia_top_test
138,0.8332837597382536,USWD10220758,Elton John,Can You Feel the Love Tonight,malaysia_top_test
139,0.8311442088551065,USWD10936985,Dr. John,"Down in New Orleans - From ""The Princess and the Frog""/Soundtrack Version",malaysia_top_test
140,0.8310704021798361,USWD10423776,Chorus - The Lion King 2: Simba's Pride,One of Us,malaysia_top_test
141,0.8301914077219725,USWD11677600,Jordan Fisher,You're Welcome - Jordan Fisher/Lin-Manuel Miranda Version,malaysia_top_test
142,0.8301569527319288,USWD10210157,Billy Crystal,If I Didn't Have You - 『モンスターズ・インク』より,malaysia_top_test
143,0.8299647601496678,USWD11778849,Emma Watson,Belle (Reprise),malaysia_top_test
144,0.8295597332067747,USWD10321079,Jodi Benson,"Part Of Your World (Reprise) (from ""The Little Mermaid"") - From ""The Little Mermaid""/ Soundtrack Version",malaysia_top_test
145,0.8280123141982957,USWD11469080,Fall Out Boy,Immortals,malaysia_top_test
146,0.8274728889603769,USWD10935873,Miley Cyrus,Hoedown Throwdown,malaysia_top_test
147,0.8273429160300125,USWD11262963,Julie Fowlis,"Into The Open Air - From ""Brave""/Soundtrack",malaysia_top_test
148,0.8246503143987289,USWD11778848,Kevin Kline,How Does A Moment Last Forever (Music Box) - ミュージックボックス・バージョン / 『美女と野獣』より,malaysia_top_test
149,0.8242386551399901,USWD11054840,Donna Murphy,Mother Knows Best - Reprise,malaysia_top_test
150,0.82226605615349,USWD10220458,Adriana Caselotti,"Some Day My Prince Will Come - From ""Snow White and the Seven Dwarfs"" / Soundtrack Version",malaysia_top_test
151,0.8196313820939443,USWD10110109,Randy Newman,Strange Things,malaysia_top_test
152,0.816254963868122,USWD11778858,Céline Dion,How Does A Moment Last Forever,malaysia_top_test
153,0.8150555862714923,USWD11779891,Jordan Fisher,Happily Ever After - Full Version,malaysia_top_test
154,0.81305688060738,USWD10937070,Anika Noni Rose,Down In New Orleans,malaysia_top_test
155,0.8129122737703184,USWD10936655,Ilene Woods,"A Dream Is a Wish Your Heart Makes - From ""Cinderella""/Soundtrack Version",malaysia_top_test
156,0.8126853170086569,USWD11778857,Audra McDonald,Beauty and the Beast (Finale),malaysia_top_test
157,0.8124174877925918,USUM71510155,Tori Kelly,"Colors Of The Wind - From ""Pocahontas""",malaysia_top_test
158,0.8114111780823346,USWD10732976,Carrie Underwood,"Ever Ever After - From ""Enchanted"" / Soundtrack Version",malaysia_top_test
159,0.8106274048427976,USWD10423268,Chorus - Beauty And the Beast,The Mob Song - 『美女と野獣』より,malaysia_top_test
160,0.8101115791816996,USWD10833810,Joe Jonas,Gotta Find You,malaysia_top_test
161,0.8075722553732483,USWD10423291,Phil Harris,Thomas O'Malley Cat,malaysia_top_test
162,0.8065339120261618,USWD10423202,Brad Kane,One Jump Ahead (Reprise),malaysia_top_test
163,0.8035979027033066,USWD11778856,Luke Evans,The Mob Song,malaysia_top_test
164,0.8027087373459866,USWD10321078,Daughters of Triton,"Daughters of Triton - From ""The Little Mermaid""/Soundtrack Version",malaysia_top_test
165,0.8010882124474512,USWD11366064,Alex G,Disney Classics Medley,malaysia_top_test
166,0.7993716335631604,USWD10732975,Jon McLaughlin,So Close - 『魔法にかけられて』より,malaysia_top_test
167,0.796458205649417,USWD10936209,Phineas and the Ferbtones,Gitchee Gitchee Goo,malaysia_top_test
168,0.7963929481063559,CAM460418821,Animation Soundtrack Ensemble,Aladdin: Prince Ali,malaysia_top_test
169,0.7958420346638374,USWD11038113,Randy Newman,We Belong Together,malaysia_top_test
170,0.7951698962018623,USWD10936984,Ne-Yo,"Never Knew I Needed - From ""The Princess and the Frog""/Soundtrack Version",malaysia_top_test
171,0.7950258701173798,USWD10936994,Anika Noni Rose,"Down in New Orleans (Finale) - From ""The Princess and the Frog""/Soundtrack Version",malaysia_top_test
172,0.7949491131972863,USWD10423542,Roger Miller,Oo-De-Lally,malaysia_top_test
173,0.7945169380368996,USQ4E1602403,Tori Kelly,"Don't You Worry 'Bout A Thing - From ""Sing"" Original Motion Picture Soundtrack",malaysia_top_test
174,0.7943263157830872,USWD10423277,Peabo Bryson,Beauty and the Beast - デュエット・バージョン / 『美女と野獣』より,malaysia_top_test
175,0.792066454876065,USWD10321342,Evan Saucedo,The Morning Report,malaysia_top_test
176,0.7899221605524278,USWD10423267,Paige O'Hara,Belle Reprise - Soundtrack,malaysia_top_test
177,0.7886586050725274,USWD10423477,Lillias White,The Gospel Truth III,malaysia_top_test
178,0.7876841007648283,USWD10322009,Tom Hulce,"Out There - From ""The Hunchback of Notre Dame""/Soundtrack",malaysia_top_test
179,0.7874548830458511,USWD10935869,Hannah Montana,You'll Always Find Your Way Back Home,malaysia_top_test
180,0.7867888846602912,USWD10423424,The Cast of ''Pocahontas'',Steady As the Beating Drum,malaysia_top_test
181,0.7864675365182787,USWD11038141,Cast Of 'Camp Rock 2',Can't Back Down,malaysia_top_test
182,0.7864125184641584,USWD10937502,Christopher Wilde,Starstruck,malaysia_top_test
183,0.7860053059632067,USWD11783639,Anthony Gonzalez,Un Poco Loco,malaysia_top_test
184,0.7859849751029688,USWD11038143,Demi Lovato,Wouldn't Change a Thing,malaysia_top_test
185,0.785104239384676,USWD10629558,Ashley Tisdale,Kiss the Girl,malaysia_top_test
186,0.7845690935920856,USWD10937504,Christopher Wilde,Hero,malaysia_top_test
187,0.7843209527619471,USWD10110113,Lyle Lovett,"You've Got A Friend In Me - From ""Toy Story""/Duet",malaysia_top_test
188,0.7841107370295229,USWD11677918,Marcy Harriell,More - Reprise - Outtake,malaysia_top_test
189,0.784100975613625,USWD10220003,Cliff Edwards,When You Wish Upon a Star,malaysia_top_test
190,0.7835026993730003,USWD10321248,Lebo M.,"The Lion Sleeps Tonight - From ""The Lion King""/Original Broadway Cast Recording",malaysia_top_test
191,0.7816972113699857,USWD10322008,David Ogden Stiers,The Bells of Notre Dame - 『ノートルダムの鐘』より,malaysia_top_test
192,0.7816236379468648,USWD10936991,Jim Cummings,Gonna Take You There (feat. Terrance Simien on Accordion),malaysia_top_test
193,0.7806830179038278,USWD10833741,Cast Of Camp Rock,We Rock,malaysia_top_test
194,0.7804304928733322,USWD10423001,Verna Felton,Bibbidi-Bobbidi-Boo,malaysia_top_test
195,0.7795187095919061,USWD11783640,Miguel,Remember Me (Dúo),malaysia_top_test
196,0.7793511433271946,USWD10423059,Chorus - Sleeping Beauty,"Main Title / Once Upon A Dream / Prologue - From ""Sleeping Beauty""/Soundtrack Version",malaysia_top_test
197,0.7792425291612285,USWD10936992,Jim Cummings,"Ma Belle Evangeline - From ""The Princess and the Frog""/Soundtrack Version",malaysia_top_test
198,0.7791423208443795,USWD11366382,Christophe Beck,Vuelie,malaysia_top_test
199,0.7779852256250512,USWD10730703,Hannah Montana,Nobody's Perfect,malaysia_top_test
200,0.7767540763705506,USRC11601593,Anna Kendrick,Get Back Up Again,malaysia_top_test
201,0.7753433762000128,USWD11778845,Audra McDonald,Aria,malaysia_top_test
202,0.7743800654902436,USWD10833809,Jonas Brothers,Play My Music,malaysia_top_test
203,0.7740271612791445,USWD11469064,Samuel E. Wright,Kiss the Girl - Remastered 2014,malaysia_top_test
204,0.7733581356114664,USQ4E1602401,Scarlett Johansson,"Set It All Free - From ""Sing"" Original Motion Picture Soundtrack",malaysia_top_test
205,0.772095224029711,USWD10423479,Roger Bart,Go the Distance (Reprise),malaysia_top_test
206,0.771396070290332,USWD10321080,Rene Auberjonois,"Les Poissons - From ""The Little Mermaid” / Soundtrack Version",malaysia_top_test
207,0.7713648961864868,USRC16406215,Julie Andrews,Do-Re-Mi,malaysia_top_test
208,0.7707150164245657,USWD10220434,Lebo M.,He Lives in You,malaysia_top_test
209,0.7705223838915616,USWD10220013,Dickie Jones,"I've Got No Strings - From ""Pinocchio""/Soundtrack Version",malaysia_top_test
210,0.7701036597823734,USQ4E1602400,Taron Egerton,"I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack",malaysia_top_test
211,0.7694144981318815,USWD10423143,N-Sync,Trashin' The Camp - Phil And 'N Sync Version,malaysia_top_test
