,isrc,track_artist,track_title,country_name,region,saves,saves_perc,skips,skips_perc,streams,users,recommendation_scores,current_playlist_position,major_label,label_studio,content_provider_name
4356,USWD10220295,Bill Lee,"Cruella De Vil - From ""101 Dalmatians""/ Soundtrack Version",,Norway,33500.0,0.022234906812509957,890670.0,0.5911631179312908,1506640,99480,0.6895087166,,UMG,Walt Disney Records,Universal
4357,USWD11054837,Mandy Moore,"When Will My Life Begin - Reprise 1/From ""Tangled""/Soundtrack Version",,Norway,81147.0,0.05387739004688801,1503040.0,0.9979404332393625,1506142,103015,0.6885264748,,UMG,Walt Disney Records,umgglobal
4360,USWD10423203,Robin Williams,Friend Like Me - 『アラジン』より,,Norway,33865.0,0.02251804469032286,1099985.0,0.7314192053354434,1503905,53520,0.6836900102,,UMG,Walt Disney Records,UMI
4361,USWD11571325,Dove Cameron,If Only,,Norway,67500.0,0.04488760144597927,655389.0,0.4358346699863542,1503756,106272,0.6832541728,,UMG,Walt Disney Records,UMI
4363,USCJY0803263,Taylor Swift,Crazier,,Norway,48738.0,0.0324174830123822,819815.0,0.5452898936311732,1503448,8754,0.6827431265,,UMG,Universal Music Asia Pacific,UMI
4365,USWD11677995,Christopher Jackson,"Where You Are - From ""Vaiana""",,Norway,39590.0,0.026346787342361826,890090.0,0.5923468538914585,1502650,112050,0.6812552146,,UMG,Walt Disney Records,UMI
4366,USWD10210262,A*Teens,"Can't Help Falling In Love - From ""Lilo & Stitch""/Soundtrack Version",,Norway,0.0,0.0,896640.0,0.596824179686252,1502352,52290,0.6803833377,,UMG,Walt Disney Records,UMI
4367,USWD11054900,Mandy Moore,When Will My Life Begin (Reprise 2),,Norway,94668.0,0.06302175284991891,1106601.0,0.7366790755637926,1502148,26859,0.6802972732,,UMG,Walt Disney Records,umgglobal
4368,USWD10423480,Danny DeVito,One Last Hope,,Norway,78306.0,0.05214698596201486,1167584.0,0.7775392237819984,1501640,390290,0.6798913177,,UMG,Walt Disney Records,UMI
4369,USWD11366064,Alex G,Disney Classics Medley,,Norway,38098.0,0.02537445943236819,641646.0,0.4273563020878082,1501431,304569,0.6791228003,,UMG,Walt Disney Records,UMI
4370,USWD11783647,Gael Garcia Bernal,Remember Me (Lullaby),,Norway,59256.0,0.0394854418423341,951858.0,0.6342738912711026,1500705,56583,0.6780299263,,UMG,Walt Disney Records,UMI
4371,USWD10220458,Adriana Caselotti,"Some Day My Prince Will Come - From ""Snow White and the Seven Dwarfs"" / Soundtrack Version",,Norway,60800.0,0.0405601571172402,869376.0,0.5799675518743062,1499008,100736,0.6775093422,,UMG,EMI Gold,umgglobal
4372,USWD11779891,Jordan Fisher,Happily Ever After - Full Version,,Norway,51261.0,0.03420944098085617,930021.0,0.6206570006526761,1498446,52098,0.6772122856,,UMG,Walt Disney Records,UMI
4373,USWD10210157,Billy Crystal,If I Didn't Have You - 『モンスターズ・インク』より,,Norway,138050.0,0.09222177315648308,689205.0,0.46041077267884045,1496935,390500,0.6769015306,,UMG,Walt Disney Records,UMI
4376,USWD11263937,Owl City,When Can I See You Again?,,Norway,91280.0,0.06100299401197605,788815.0,0.5271699903763901,1496320,25745,0.6760751111,42.0,UMG,EMI Catalogue,umgglobal
4377,USWD10423207,Jonathan Freeman,"Prince Ali (Reprise) - From ""Aladdin""/Soundtrack Version",,Norway,82092.0,0.05487066372568679,1093752.0,0.7310687788249448,1496100,168708,0.6753889977,,UMG,Walt Disney Records,Universal
4378,USWD11676303,Sabrina Carpenter,A Dream is a Wish Your Heart Makes/So This is Love,,Norway,140985.0,0.09423916836114687,1377054.0,0.9204697219448221,1496034,44442,0.6746456851,,UMG,Walt Disney Records,UMI
4382,USWD10321898,The Dwarf Chorus,Heigh-Ho,,Norway,81720.0,0.05471765702367282,852815.0,0.5710234786422361,1493485,56230,0.6716388467,,UMG,EMI Gold,umgglobal
4385,USWD11054840,Donna Murphy,Mother Knows Best - Reprise,,Norway,51014.0,0.03418197509554925,882118.0,0.5910639335738369,1492424,13882,0.6707495645,,UMG,Walt Disney Records,Universal
4386,USWD10423205,Robin Williams,Prince Ali,,Norway,60390.0,0.040465158352848946,1404760.0,0.9412789509479729,1492395,82015,0.6706375695,,UMG,Walt Disney Records,UMI
4387,USWD10423913,Judy Kuhn,"Like Other Girls - From ""Mulan II""/Soundtrack Version",,Norway,91080.0,0.06113564084354834,1434878.0,0.9631333559761632,1489802,258060,0.6705632949,,UMG,EMI TV,umgglobal
