,user_dma_number,user_dma_name,user_postal_code,user_count,user_%
26790,862,Sacramnto-Stkton-Modesto,559,1,1.736161447736419e-05
26837,862,Sacramnto-Stkton-Modesto,785,1,1.736161447736419e-05
26891,862,Sacramnto-Stkton-Modesto,914,1,1.736161447736419e-05
26792,862,Sacramnto-Stkton-Modesto,581,1,1.736161447736419e-05
26816,862,Sacramnto-Stkton-Modesto,683,1,1.736161447736419e-05
26815,862,Sacramnto-Stkton-Modesto,681,1,1.736161447736419e-05
26818,862,Sacramnto-Stkton-Modesto,690,1,1.736161447736419e-05
26819,862,Sacramnto-Stkton-Modesto,705,1,1.736161447736419e-05
4255,515,Cincinnati,534,1,1.736161447736419e-05
26811,862,Sacramnto-Stkton-Modesto,660,1,1.736161447736419e-05
6917,532,Albany-Schenectady-Troy,019,1,1.736161447736419e-05
26809,862,Sacramnto-Stkton-Modesto,641,1,1.736161447736419e-05
26808,862,Sacramnto-Stkton-Modesto,631,1,1.736161447736419e-05
4253,515,Cincinnati,495,1,1.736161447736419e-05
26806,862,Sacramnto-Stkton-Modesto,624,1,1.736161447736419e-05
26805,862,Sacramnto-Stkton-Modesto,622,1,1.736161447736419e-05
4256,515,Cincinnati,535,1,1.736161447736419e-05
6927,532,Albany-Schenectady-Troy,030,1,1.736161447736419e-05
6929,532,Albany-Schenectady-Troy,036,1,1.736161447736419e-05
26799,862,Sacramnto-Stkton-Modesto,601,1,1.736161447736419e-05
4257,515,Cincinnati,537,1,1.736161447736419e-05
6933,532,Albany-Schenectady-Troy,042,1,1.736161447736419e-05
4258,515,Cincinnati,549,1,1.736161447736419e-05
6905,531,"Tri-Cities, TN-VA",925,1,1.736161447736419e-05
6904,531,"Tri-Cities, TN-VA",881,1,1.736161447736419e-05
26795,862,Sacramnto-Stkton-Modesto,596,1,1.736161447736419e-05
6900,531,"Tri-Cities, TN-VA",441,1,1.736161447736419e-05
6875,531,"Tri-Cities, TN-VA",258,1,1.736161447736419e-05
6871,531,"Tri-Cities, TN-VA",229,1,1.736161447736419e-05
6869,531,"Tri-Cities, TN-VA",193,1,1.736161447736419e-05
7021,532,Albany-Schenectady-Troy,169,1,1.736161447736419e-05
7047,532,Albany-Schenectady-Troy,245,1,1.736161447736419e-05
26874,862,Sacramnto-Stkton-Modesto,875,1,1.736161447736419e-05
6853,530,Tallahassee-Thomasville,532,1,1.736161447736419e-05
6852,530,Tallahassee-Thomasville,495,1,1.736161447736419e-05
7052,532,Albany-Schenectady-Troy,277,1,1.736161447736419e-05
7053,532,Albany-Schenectady-Troy,280,1,1.736161447736419e-05
6851,530,Tallahassee-Thomasville,449,1,1.736161447736419e-05
7056,532,Albany-Schenectady-Troy,286,1,1.736161447736419e-05
6850,530,Tallahassee-Thomasville,410,1,1.736161447736419e-05
6848,530,Tallahassee-Thomasville,370,1,1.736161447736419e-05
7059,532,Albany-Schenectady-Troy,295,1,1.736161447736419e-05
732,501,New York,790,1,1.736161447736419e-05
6846,530,Tallahassee-Thomasville,365,1,1.736161447736419e-05
26722,862,Sacramnto-Stkton-Modesto,223,1,1.736161447736419e-05
7061,532,Albany-Schenectady-Troy,301,1,1.736161447736419e-05
26720,862,Sacramnto-Stkton-Modesto,221,1,1.736161447736419e-05
7062,532,Albany-Schenectady-Troy,302,1,1.736161447736419e-05
7063,532,Albany-Schenectady-Troy,303,1,1.736161447736419e-05
7066,532,Albany-Schenectady-Troy,315,1,1.736161447736419e-05
26715,862,Sacramnto-Stkton-Modesto,207,1,1.736161447736419e-05
26714,862,Sacramnto-Stkton-Modesto,206,1,1.736161447736419e-05
6845,530,Tallahassee-Thomasville,363,1,1.736161447736419e-05
7070,532,Albany-Schenectady-Troy,334,1,1.736161447736419e-05
6860,530,Tallahassee-Thomasville,796,1,1.736161447736419e-05
26736,862,Sacramnto-Stkton-Modesto,302,1,1.736161447736419e-05
7044,532,Albany-Schenectady-Troy,232,1,1.736161447736419e-05
26751,862,Sacramnto-Stkton-Modesto,381,1,1.736161447736419e-05
26761,862,Sacramnto-Stkton-Modesto,452,1,1.736161447736419e-05
7022,532,Albany-Schenectady-Troy,175,1,1.736161447736419e-05
26758,862,Sacramnto-Stkton-Modesto,443,1,1.736161447736419e-05
7024,532,Albany-Schenectady-Troy,180,1,1.736161447736419e-05
7025,532,Albany-Schenectady-Troy,182,1,1.736161447736419e-05
26754,862,Sacramnto-Stkton-Modesto,430,1,1.736161447736419e-05
6867,531,"Tri-Cities, TN-VA",117,1,1.736161447736419e-05
4262,515,Cincinnati,601,1,1.736161447736419e-05
7029,532,Albany-Schenectady-Troy,194,1,1.736161447736419e-05
26752,862,Sacramnto-Stkton-Modesto,402,1,1.736161447736419e-05
6865,530,Tallahassee-Thomasville,982,1,1.736161447736419e-05
6861,530,Tallahassee-Thomasville,809,1,1.736161447736419e-05
